                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.43698,                0.40739,                0.86215,                0.98002,                      1,                0.98763,                 0.9163,                0.35958,                0.37287,                0.80316,              0.0012872,              0.0012872,              0.0012872
                     38,                0.41825,                 0.4025,                0.85912,                0.97397,                      1,                0.98412,                0.94278,                0.31771,                0.38832,                0.80222,              0.0012674,              0.0012674,              0.0012674
                     39,                0.40363,                0.40951,                0.86124,                0.97845,                      1,                  0.995,                0.93893,                0.33193,                0.36098,                0.79457,              0.0012476,              0.0012476,              0.0012476
                     40,                0.39188,                0.39902,                0.84811,                0.96091,                      1,                0.99044,                0.92821,                 0.3407,                0.41728,                0.79266,              0.0012278,              0.0012278,              0.0012278
                     41,                0.41819,                0.40333,                0.88236,                 0.9742,                      1,                0.99412,                 0.9308,                0.33838,                0.35595,                0.79231,               0.001208,               0.001208,               0.001208
                     42,                0.40092,                  0.394,                0.85327,                      1,                0.99839,                  0.995,                0.94724,                 0.3181,                0.31842,                0.79163,              0.0011882,              0.0011882,              0.0011882
                     43,                0.38764,                0.37993,                0.86794,                0.99668,                      1,                  0.995,                0.93303,                0.34824,                0.32042,                0.80017,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.3958,                0.38211,                0.85252,                 0.9967,                      1,                  0.995,                0.93798,                0.32632,                0.31218,                0.79733,              0.0011486,              0.0011486,              0.0011486
                     45,                0.37946,                0.37189,                 0.8504,                0.99489,                      1,                  0.995,                0.96505,                0.29293,                0.29343,                0.78761,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.3756,                 0.3598,                0.86611,                0.99146,                      1,                  0.995,                0.94083,                0.31363,                0.30673,                0.78552,               0.001109,               0.001109,               0.001109
                     47,                0.37083,                0.34233,                0.85699,                0.99504,                      1,                  0.995,                0.95727,                0.29205,                0.27935,                0.77961,              0.0010892,              0.0010892,              0.0010892
                     48,                0.41194,                0.38042,                0.86698,                0.98128,                      1,                  0.995,                0.94684,                0.31715,                0.32783,                 0.8093,              0.0010694,              0.0010694,              0.0010694
                     49,                0.37135,                0.34925,                0.85455,                0.93063,                      1,                0.95697,                0.92203,                0.29607,                0.40519,                0.80879,              0.0010496,              0.0010496,              0.0010496
                     50,                0.35656,                0.34843,                0.85584,                0.94056,                      1,                0.96121,                0.92192,                0.29921,                0.37932,                0.79597,              0.0010298,              0.0010298,              0.0010298
                     51,                0.35445,                0.34011,                0.85554,                0.97891,                      1,                  0.995,                0.96962,                0.26883,                0.29837,                0.78434,                0.00101,                0.00101,                0.00101
                     52,                0.35328,                0.34805,                0.83327,                0.97897,                      1,                 0.9936,                0.96196,                0.27963,                0.30188,                0.79279,              0.0009902,              0.0009902,              0.0009902
                     53,                0.34828,                 0.3481,                0.84565,                0.97447,                      1,                0.99202,                0.97026,                0.26772,                0.28454,                0.77621,              0.0009704,              0.0009704,              0.0009704
                     54,                0.34673,                0.34767,                0.85115,                0.98151,                      1,                  0.995,                0.95544,                0.31869,                0.28052,                 0.7816,              0.0009506,              0.0009506,              0.0009506
                     55,                0.32726,                0.32359,                0.84802,                0.98741,                      1,                  0.995,                0.98261,                0.26023,                 0.2764,                0.77787,              0.0009308,              0.0009308,              0.0009308
                     56,                0.35913,                0.34388,                 0.8559,                0.99424,                      1,                  0.995,                 0.9737,                0.27764,                0.27358,                0.78016,               0.000911,               0.000911,               0.000911
                     57,                0.35369,                0.33073,                0.86515,                 0.9954,                      1,                  0.995,                0.96967,                0.29893,                0.27296,                0.78116,              0.0008912,              0.0008912,              0.0008912
                     58,                0.34989,                0.33083,                0.85565,                0.99573,                      1,                  0.995,                0.97141,                0.27519,                0.25994,                0.78472,              0.0008714,              0.0008714,              0.0008714
                     59,                0.34296,                0.33165,                0.86106,                0.98402,                      1,                  0.995,                0.96391,                 0.2605,                0.26923,                0.78158,              0.0008516,              0.0008516,              0.0008516
                     60,                0.36123,                0.34701,                0.84729,                0.97372,                      1,                  0.995,                0.97823,                0.24375,                0.27455,                0.77638,              0.0008318,              0.0008318,              0.0008318
                     61,                0.33497,                0.31507,                 0.8417,                0.99108,                      1,                  0.995,                0.97984,                0.25422,                0.27468,                0.77899,               0.000812,               0.000812,               0.000812
                     62,                0.34475,                0.32068,                0.84793,                0.99547,                      1,                  0.995,                0.98042,                0.24901,                0.25485,                0.78267,              0.0007922,              0.0007922,              0.0007922
                     63,                0.30705,                 0.2862,                0.83994,                0.99536,                      1,                  0.995,                0.97607,                0.25198,                0.24305,                0.78225,              0.0007724,              0.0007724,              0.0007724
                     64,                0.34059,                0.32563,                0.85172,                0.99398,                      1,                  0.995,                0.97185,                 0.2624,                0.24817,                0.78226,              0.0007526,              0.0007526,              0.0007526
                     65,                0.31216,                0.30178,                0.83362,                0.98862,                      1,                  0.995,                0.97995,                0.24426,                0.26504,                0.77909,              0.0007328,              0.0007328,              0.0007328
                     66,                0.30043,                0.29614,                0.84328,                0.99119,                      1,                  0.995,                0.97127,                0.25023,                0.26765,                0.77546,               0.000713,               0.000713,               0.000713
                     67,                0.32832,                0.30567,                0.84827,                0.99342,                      1,                  0.995,                0.97751,                0.24374,                0.25248,                0.76786,              0.0006932,              0.0006932,              0.0006932
                     68,                0.32724,                0.31835,                0.84512,                0.99835,                      1,                  0.995,                0.97456,                0.28392,                0.24478,                0.77844,              0.0006734,              0.0006734,              0.0006734
                     69,                0.30254,                0.28526,                0.84081,                0.99546,                      1,                  0.995,                0.98406,                0.22778,                0.22996,                0.77567,              0.0006536,              0.0006536,              0.0006536
                     70,                0.30277,                0.30974,                0.84479,                0.99364,                      1,                  0.995,                0.98423,                0.21889,                0.24024,                 0.7692,              0.0006338,              0.0006338,              0.0006338
                     71,                0.30667,                0.27965,                0.83169,                0.99195,                      1,                  0.995,                0.97939,                0.23666,                 0.2415,                 0.7749,               0.000614,               0.000614,               0.000614
                     72,                0.28375,                0.28337,                0.83709,                0.99456,                      1,                  0.995,                 0.9824,                0.22196,                0.22567,                0.77256,              0.0005942,              0.0005942,              0.0005942
                     73,                0.28852,                0.27714,                0.85358,                0.96484,                      1,                  0.995,                0.98216,                0.22618,                0.25171,                0.77252,              0.0005744,              0.0005744,              0.0005744
                     74,                0.30091,                0.27236,                0.84123,                0.96124,                      1,                  0.995,                0.98255,                0.23367,                0.26617,                0.77162,              0.0005546,              0.0005546,              0.0005546
                     75,                0.29215,                0.28016,                0.84756,                0.96066,                      1,                0.99466,                0.98386,                0.22078,                0.25706,                0.77129,              0.0005348,              0.0005348,              0.0005348
                     76,                0.27631,                0.26559,                0.84416,                0.99094,                      1,                  0.995,                0.97407,                0.26123,                   0.25,                0.77804,               0.000515,               0.000515,               0.000515
                     77,                0.27523,                0.26643,                0.84608,                0.99631,                      1,                  0.995,                0.97632,                0.22413,                0.21294,                0.77283,              0.0004952,              0.0004952,              0.0004952
                     78,                0.28128,                0.27202,                0.84122,                0.99759,                      1,                  0.995,                0.98409,                0.22999,                0.21085,                0.77464,              0.0004754,              0.0004754,              0.0004754
                     79,                0.28643,                0.28013,                0.84151,                0.99609,                      1,                  0.995,                0.98688,                0.23108,                0.21734,                0.77763,              0.0004556,              0.0004556,              0.0004556
                     80,                0.29229,                0.28327,                 0.8469,                0.99318,                      1,                  0.995,                0.98023,                0.25946,                0.23089,                0.78265,              0.0004358,              0.0004358,              0.0004358
                     81,                0.27487,                 0.2722,                 0.8361,                0.99742,                      1,                  0.995,                0.98519,                0.22623,                0.20741,                0.77704,               0.000416,               0.000416,               0.000416
                     82,                0.28403,                  0.281,                0.84548,                0.99694,                      1,                  0.995,                 0.9878,                0.21712,                0.20671,                0.77296,              0.0003962,              0.0003962,              0.0003962
                     83,                0.27079,                0.25429,                0.84716,                 0.9955,                      1,                  0.995,                0.98823,                0.23271,                0.21587,                0.77354,              0.0003764,              0.0003764,              0.0003764
                     84,                0.29494,                 0.2655,                0.84731,                0.99548,                      1,                  0.995,                0.98583,                0.22634,                0.22362,                0.76926,              0.0003566,              0.0003566,              0.0003566
                     85,                0.27048,                0.27497,                 0.8552,                0.99378,                      1,                  0.995,                0.98619,                0.23795,                0.22229,                0.77091,              0.0003368,              0.0003368,              0.0003368
                     86,                0.26913,                0.25089,                0.83485,                0.99271,                      1,                  0.995,                0.98437,                  0.233,                0.21769,                 0.7682,               0.000317,               0.000317,               0.000317
